title,tags,play_time,difficulty,platform
Hades,"アクション;ローグライク",～1時間,難しい,"PC;Switch"
逆転裁判,"ADV;推理",～20時間,簡単,"Switch;スマホ"
Slay the Spire,"ローグライク;カードゲーム",～1時間,難しい,"PC;スマホ"
